包取暖 舜泰浪潮汉峪金谷 能短租南向带阳台 阳台带洗手池,3室1厅2卫,合租 - 主卧,35,南,中层 / 24层,高新,南湖花苑(东区),高新汉峪 - 舜华南路,950,无,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']",间标准配物：床、衣柜、床头橱、写字桌、椅子、空调、冰箱、全自动洗衣机、24热水器、天然气灶台、可做饭房费包含：光纤100兆宽带费、暖气费、物业管理费交费方式：押一付一减少经济压力！房间一房一价！房间朝向采光极好配套齐全精装修！所有照片均为装修后实际拍摄的！您在这个城市里，我不仅帮能您找到舒适的房子！如还需要其他帮助，我会尽我能及的帮助您！介绍：（1）房租押一付一，无中-介-费，公司自营直接出租。（2）居住问题管家报修，接单上门维修。冬有暖气、夏有空调。（3）无线宽带、衣柜、大床(床下超大储物空间)、电脑桌、椅子、晾衣架、空调、24*热水器、暖气、冰箱、全自动洗衣机、电磁炉、全套厨房、天然气可做饭。（4）我们的小区均为成熟小区，下楼就站牌，吃喝玩乐应有尽有（济南各大区都有直达车！）。（5）租客要求：养宠物者不租、不爱干净者不租、斤斤计较者不租、18岁以下及45岁以上者不租！该公寓遍布济南各个区域，欢迎骚扰！
可月付 汉峪金谷 舜泰广场 奥体 软件园 重汽 软件园 美莲,1室0厅1卫,整租,45,北,低层 / 11层,历下,林景山庄公寓,历下经十路历下段 - 经十东路3366号,1299,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",欢迎关注房产经纪人：侯泽彬只需说明您的需求和价位、我就可以给您匹配适合您的房源，轻松帮您找到您满意的房子房源分布：高新区、历城区、历下区房源价格区间：800/2400房源户型：大开间、一室一厅、两室一厅房源描述：床衣柜沙发电视冰箱洗衣机空调热水器宽带暖气可做饭阳台独立卫生间一.房源优势1.周围具备商场，超市，小学，医院，公交站，生活方便2.房间配置美嘉大床、双门衣柜、床头柜、精美桌椅、晾衣架3.房间里面配置冰箱、全自动洗衣机、热水器、无线网（家电齐全），独立厨卫。二.服务优势。1.房间都是实景拍摄，看房只需几！2.房租可以月付，季付，半年付，年付，
中心医院 山师万豪诚基 整租平层一室一厅 精装修 拎包入住,1室1厅1卫,整租,50,南,中层 / 12层,历下,诚基中心,历下和平路 - 和平路47号,1299,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",房源描述：1.【水电物业费】水费电费都是正规居民用电用水费用标准；绝无乱收费现象；物业费以小区收费为准。2.【出行便捷】交通便利，紧邻公交车站！3.【生活】周边生活设施齐全，商场、超市、菜市场、银行、医院、学校等应有尽有！闹中取静（非常静谧的地方），居家环境成熟，生活配套设施完善！4.【物业安全】联排叠加，密度低，物业管理，安全规范！5.随时看房拎包入住！【辐射路段】山大路、花园路、泺源大街、大明湖、明湖东路、和平路、燕子山路、解放路、泉城路、文化东路、文化西路、千佛山、经十路、历山路、山大南路、山大北路、华龙路、七里河路、华信路、华能路、二环东路、燕山立交桥、工业南路、浆水泉路、解放东路、洪楼南路、闵子骞路、窑头路、姚家路、解放路、山师东路、青年东路、经三路、经四路、经七路、经十一路、经八路、洪楼西路、黄台南路、历山北路、北园大街、趵突泉南路、棋盘街、佛山街、泺文路、玉函路、洪山路等。【辐射小区】窑头小区、棋盘小区、佛山苑、姚家小区、葡萄园小区、国华经典、燕子山小区、金色港湾、路劲东城、将军花园、桑园小区、文博家园、三箭平安苑、友谊苑小区、七里河小区、历苑小区、花园小区、永大百花园、花园庄小区、甸柳庄社区、甸柳新村、舜山园小区、解放路41号、政府宿舍、山东省武术院宿舍、现代逸城、现代逸城水泥厂宿舍、恒泉花园、文东裕华园、燕东山庄、洪山景苑、静居苑、高速花园、师东小区、银座花园、枫润山居、玫瑰花园、中建馨园、海信都市阳光、环东新苑、东莱花园、依山居、山久水园、假日丽景花园、燕舞园、长盛小区、东仓小区、明湖小区、湖畔苑、湖滨苑、刘家桥小区、清河小区、燕柳园、洪山景苑、名士豪庭、雁翔苑、中润世纪城、茂岭花苑、百花小区、国熙台、诚基中心、和平新村、恒大帝景、历东花园、青后小区、绿景嘉园、绿景尚品、现代华庭、利农花园、鸿苑雅仕苑、数码港、达盛鑫苑、神光花园、群康家园、恒泰花园、宏泰小区、历园新村、康和东苑、康和西苑、建元小区、柳行小区、海晏门、石桥小区、一建宿舍、历山吉第、东兴寓城、七里堡小区、鑫达小区、南全福小区、时代新城、北全福小区、明湖天地、三箭吉祥苑、三庆汇文轩、燕柳园、留园小区、千禧家园、洪楼小区、舜和园、舜玉小区、正觉寺、和平花园、佛山静院、融基书香苑、紫香园、融基竹园馨居、益寿家园、鑫苑名家、开元山庄、富翔天地、保利大名湖、新馨家园、科苑小区、逸东花园、新龙家园、新生活家园、盛福花园、辛甸花园、燕庆园、枫景园、腾骐冠宸、东兴花园、汇科旺园、东园山庄等
首租精装 全新家具家电齐全 南向采光充足 大客厅 随时看房,2室2厅1卫,整租,97,南,高层 / 24层,槐荫,阳光100国际新城(K...,"槐荫阳光100 - 阳光新路,近西十里河东街",2600,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1【户型优势】阳光100首租精装南向大两室，全新家具家电，配套齐全；两室两厅一卫，厅带阳台宽敞明亮，两室南向，采光好；随时看！出入方便，近美乐汇商场、欧亚大观综合体，购物娱乐影院KTV一应俱全！2【房屋现状】高楼层，舒适安静。3【】4所幼儿园、2所小学、1所中学（外国语中小学九年、阳光100小学）让您的孩子不出小区轻松入托、入学，坐享教育资源。4【商圈优势】阳光100国际新城是经十路和谐广场商圈大的成熟社区，地理位置优越，设施配套齐全，餐饮、购物、娱乐、出行一步到位，让你的生活更加方便快捷。
三户合租市政供暖订房免首月物业网龙湖精装主卧独卫可随时看房,3室2厅2卫,合租 - 主卧,25,南,中层 / 18层,历城,龙湖春江悦茗,"历城唐冶 - 唐冶西路,近文苑街",650,无,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']",出门在外找房子成了一个不可缺少的事情，给你们造成难处，不如拿起电话找我们帮助你来找，适合自己的超值房源，[嘉信公寓]诚信为你服务，保证你住的安心住的放心住的舒心!!我是嘉信公寓的置业顾问----李保镇，我们的服务宗旨《精心为你找好每套房子》支持售后服务
全福荣盛广场 北园大街华福维嘉一室公寓出租拎包入住随时看房,1室1厅1卫,整租,47,南,中层 / 30层,历城,华福维嘉公寓,历城洪家楼 - 北园大街,1700,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",附近交通方便紧邻全福立交北园高架出行方便房子干净整洁出租住新房体验美好生活！屋内家具家电齐全拎包入住！附近商圈荣盛时代路劲东城印象城全福立交华福国际华福维嘉济南第一张中学东兴寓城山东济钢中学电力建设第一工程公司名辉豪庭明福苑石桥小区丰汇小区鑫苑名家林业大厦齐鲁师范学院历下校区长盛小区南全福北全福大润发洪楼广场金桥国际富翔天地保利海德公馆辛甸花园黄台大酒店奥斯卡酒吧金色港湾华联超市银座奥特莱斯大明湖华山风景区图书馆山东大学第二医院山东大学中心校区济南长途汽车东站！
康虹路高新万达附近 主卧次卧 特价出租 随时看房 拎包入住,3室2厅2卫,合租 - 主卧,24,南,中层 / 22层,高新,新生活家园,高新国际会展中心 - 康虹路1266号,550,距离地铁R3号线花园东路站1864米,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']",也许你一个人在外打拼，离乡背井，不远万里落脚这座城市，或是土生土长的你，决定从现在开始，搬离旧时光，独立生活从此，愿租房这件小事，为你留下美好回忆….....房源优势：1.不说装修多好，至少干净卫生，清净明亮。2.不像别的房居住人多且杂，合租五六间甚至更多，品牌只为专属的你。3.小区*，出门公交，闹中取静，成熟商圈，周边菜市场，超市，小吃街，无论你是购物狂，吃货，夜猫子，技术宅都能满足。4.租客*，无正当职业者不租，让合租的你住的更有品质。5.公司自己的房子，不是骗人，真的不收*。6.服务周到，带你看遍济南商圈所有*，相信我，成就你
旅游路阳光舜城国华南邻 千佛山熙园叠拼别墅 办公居住好停车,5室2厅3卫,整租,300,南北,共4层,市中,千佛山熙园,市中阳光舜城 - 舜世路,12000,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",旅游路阳光舜城转盘东邻，千佛山熙园别墅区叠拼别墅，加阁楼共三层，近300平方中央空调集中供暖，楼下好停车办公居住都行，有钥匙随时看房
万科海晏门 2室1厅1卫 2500元月,2室1厅1卫,整租,61,南北,低层 / 33层,历下,万科海晏门,"历下东关 - 历山路,近东关大街",2500,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",更多同类好房源.请点击右上角我的头像进入我的店铺查看.欢迎致电。房屋详情：2室1厅，卧室朝阳，南北通透。双气，精装房，大床，油烟机，燃气灶，空调，冰箱，电视，挂衣橱，写字台，餐桌，热水器等，拎包入住周边配套：紧挨大明湖，老东门，奥斯卡。附近学校，医院，银行，公园餐饮，娱乐设施齐全！
全女生 可做饭地暖新龙家园 华龙路 七里河汇隆广场华信路月付,3室2厅1卫,合租 - 主卧,25,南,中层 / 20层,历城,新龙家园,历城七里河 - 华龙路399号,650,无,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']",房源真实，南北通透房屋敞亮，干净卫生，采光好视野棒！WiFi家电家具齐全！随时拎包入住，给您一个方便温馨的居住环境！2.房屋人员问题:为了营造干净温馨和谐安全的居住环境租了也是经过我们筛选的，不会租给一些有不好生活习惯的人我们的租客是有素质的上班族！3.无中介费，付款方式灵活解决您的资金紧张问题！4.保洁维修家电家具配有专业维修后勤团队，免去生活烦恼！5.小区介绍:地处成熟商圈，周围菜市场超市饭店，小吃街银行娱乐场所1.入住安全放心有保障2.公共区域定期保洁居住环境好3.我们在济南各地均有房源，只有您的一个电话我们风里雨里免费带您看房，让您在这个城市找到一个属于自己的温馨小窝！
祥泰广场 年底优惠 房源打折 精装修 拎包住 随时看,3室2厅2卫,合租 - 主卧,30,南,低层 / 20层,市中,祥泰广场,市中英雄山路 - 英雄山路129号,600,无,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']",只要您想租的房子，一个电话，我就会给您一个美丽温馨的整租合租女士合租多户合租我们都有房源我们公司每个月会免费给房间做两次的保洁房间里除人为损坏，我们公司免费上门维修。公寓优势：（1）经济压力小，房租月付无压力。多价位多种主题房型总有合适的。（2）专业保洁保安，价格享受酒店管家式待遇。冬有地暖、夏有空调。（3）无线宽带、衣柜、大床、电脑桌、晾衣架、空调、热水器、暖气、冰箱、洗衣机、电磁炉、全套厨房可做饭。（4）下楼就站牌，吃喝玩乐应有尽有（济南各大区都有直达车！）。（5）不爱干净者不租、斤斤计较者不租、（6）一房一锁，身份验证，禁止扰邻，学生、白领之家
急租！朗润园 恒大滨河 拎包入住 黄台附近 盖家沟 星艺家居,4室1厅2卫,合租 - 次卧 - 男女不限,25,南,高层 / 34层,天桥,恒大滨河左岸朗润园,天桥历山北路 - 水屯路,750,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",包物业费网费保洁费我们知道您需要什么样的房源，合理的价格，舒适的环境，步行的距离，好相处的室友。您需要的的正是我们在努力【房源描述】主卧、次卧，实体墙，专业售后，专业保洁。家电齐全，24热水，拎包入住。位置：小清河南路历山北路，小清河南路水屯路，新黄路水屯路【房源优势】周边生活方便、交通便利、超市、银行、小吃。步行诚信商务大厦，短距离黄台电子产业园，星艺家家居城，山大二院出行方便。【我们对租客的要求】一，养宠物不租，二，不讲究公共卫生不租，三，吵闹不租.对租客的严格要求，只为大家创造一个更舒适的环境，房源不止一套房源，不会让你白跑。我们不只关注租前，更关注每一个租客的入住体验【我们的周边房源】历下：中润世纪城，燕山财经大学附近，名士豪庭，东方天澍花园，高速花园，银座花园，荆山新居，学府蓝山，边防局宿舍，林溪花园，紫荆园，军安和平山庄，庆馨家园，经十路沿线，浆水泉路沿线，燕山立交桥沿线房源高新：丰奥嘉园、盛景家园、保利华庭、凯旋公馆、中铁汇苑、新生活家园、重汽1956、力高国际、，天桥、历城：全福立交桥、翡翠外滩，锦绣澜湾，路劲东城，历山吉第，山大二院附近，鑫苑名家，清河苑、明湖小区、恒大滨河左岸朗润园，红星美凯空附近，豪鲁大厦附近，黄台产业园附近，北园大街，历山北路、小清河附近、火车站附近。公司现在也在广纳贤才！1、青年公寓业务员，网络发帖，帅哥美女租客找到我们来租房，我们对其租住需求进行匹配，带看、签约，流程简直不要太简单！入职无责3000加提成，转正稳定5-8k;2、行政、人事、客服、公寓管家等内勤岗位，平均薪资4-8k。工作氛围融洽简单，法定节假日、学历补贴、缴纳社保等各项福利都在向你招手！历下、高新、天桥可以就近选择办公室。这是一个蓝海市场，简家公寓期待您的加入！
新出~七里河华能路~精装两室~家具家电齐全~领包住,2室2厅1卫,整租,87,南北,高层 / 6层,历城,七里河小区,历城七里河 - 七里河路,1750,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1.这个小区物业正规，24*物业，安全的很2、咱们小区周边有很多济南小吃，满足吃货的要求，之前我经常在这吃3、自家房子，价格低廉、房子照片都是我自己亲自拍摄的，随时看房，正规卧室，4、物品损坏24*内免费上门维修、我们有自己的维修师傅5、服每星期定期检查卫生，排除电路水路等安全隐患6、房间干净整洁、每天都会打扫卫生、希望租客能吧那当成自己的家、维护机自觉打扫卫生、7、租赁期间如有各项问题，我们客服为您排解困难协调调解温馨提示养宠物的、没有正当职业的、不爱干净的、大吵大闹的，为了营造干净、和谐、安全的居住环境，以上租客不租谢谢合作、
新出~七里河小区~精装两室~南北通透~家具家电齐全~领包住,2室2厅1卫,整租,108,南北,中层 / 6层,历城,七里河小区,历城七里河 - 七里河路,1750,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1.这个小区物业正规，24*物业，安全的很2、咱们小区周边有很多济南小吃，满足吃货的要求，之前我经常在这吃3、自家房子，价格低廉、房子照片都是我自己亲自拍摄的，随时看房，正规卧室，4、物品损坏24*内免费上门维修、我们有自己的维修师傅5、服每星期定期检查卫生，排除电路水路等安全隐患6、房间干净整洁、每天都会打扫卫生、希望租客能吧那当成自己的家、维护机自觉打扫卫生、7、租赁期间如有各项问题，我们客服为您排解困难协调调解温馨提示养宠物的、没有正当职业的、不爱干净的、大吵大闹的，为了营造干净、和谐、安全的居住环境，以上租客不租谢谢合作、
周末特价，华龙路，华信路，工业南路，拎包入住，精装修，无中介,3室2厅2卫,合租 - 主卧,30,南,低层 / 7层,历城,新龙家园,历城七里河 - 华龙路399号,650,无,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']",精装单间公寓~价位500-1500我们的宗旨：打造济南市*的高品质租住！我们的服务1、付款方式多样化：押一付一压一付二压一付三半年付年付2、公区厨房、卫生间、走廊，不定期免费保洁。3、管家服务:看房选房、签订合同、入住搬家、房间物品非人为损坏无偿维修。4丶随时看房。5丶水费电费都是正规居民用电用水费用标准，绝无乱收费现象。6丶家具齐全，随时拎包入住、周边环境好。7丶闹中取静（非常静谧的地方），居家环境温馨，生活配套设施完善！8丶交通便利，出小区门口就是公交站牌；9丶周边生活设施齐全，商场、超市、菜市场、银行、学校等应有尽有！
王舍人新东站万虹广场旁精装两室家具家电齐全,2室1厅1卫,整租,65,南北,高层 / 33层,历城,田园新苑,历城工业北路 - 工业北路,1300,距离地铁R3号线王舍人站1463米,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1.居民素质高，生活舒适度高，2.人文环境很重要！小区配套：3.小区配套设施齐全，生活方便，健身房，影城，大型超市购物中交通便利，有车位，好停车，出门就公交站牌，多路公交车直达！交通方便：附近有8路、40路、K57路、97路、106路、313路、315路多路公交车，出行方便4.服务介绍：我是中住地产的一名资深置业顾问，对主打楼盘商圈户型、结构、配套非常熟悉。选择我，选择中住地产！我是徐焕焕，很高兴为您服务！======山东中住地产只卖房源====
可短租！解放东路 政法学院 历下大厦 浆水泉路 姚家 家具全,3室1厅1卫,整租,92,南,高层 / 6层,历下,政府宿舍(姚家),历下姚家 - 解放东路83号,1999,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']","1、高性价比付款方式灵活、季付、半年付、大程度方便住户，减轻租客压力2、白金地段，地铁口快捷交通。饭店、药店、水果店、各色小吃、便利店、足疗、美容美发、网吧、茶社、菜场等小型生活配套楼下醇熟配套，十分便利3、拎包入住房间均配置了大床、写字桌椅、温馨衣柜、洗衣机、24天然气热水，一应俱全，做到了真正的全装修拎包入住标准。4、配备齐全主卧：带独立卫生间，全新家具，床衣柜电脑桌家电：电视、洗衣机、厨房5、看房自由本房源真实存在，您只需要一个电话,即可带您看房,精装修,6.可入住时间：随时入"
宝世达 文亮教育 万虹广场 香溢澜庭精装主卧阳台 南向无中介,4室2厅2卫,合租 - 主卧,30,南,中层 / 32层,历城,新城香溢澜庭,"历城工业北路 - 工业北路,近开源路",700,距离地铁R3号线王舍人站833米,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']","恒大城一期，二期，恒大公寓万象新天，4区，高尔夫花院，万卷府，理想郡，云公馆,哈弗郡，剑桥郡。香溢紫郡,澜庭.有单独的男生，或，女生宿舍。朝向楼层可供选择。价格400--1300不等我们都有房源出租,有需要随时联系,随时看房.一个电话让你不再东跑西跑./"
地铁口 2室2厅1卫 全套 徐家庄附近单位宿舍随时看房入住,2室2厅1卫,整租,84,南,中层 / 7层,高新,徐家庄,高新国际会展中心 - 凤凰路,1700,无,"['电视', '空调', '热水器', '洗衣机', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1位置：高新万达广场东徐家庄附近单位宿舍适合万达附近上班人群、软件园。舜泰广场汉峪金谷、财富中心附近人群2、户型：2室2厅1卫3、配套：双人床、床头柜、衣橱、沙发、茶几、电视机电视机柜、冰箱、洗衣机、空调、整体厨房油烟机、整体卫生间热水器等全套家居家电4.有钥匙随时看房随时入住好房5、高新工业南路、奥体中路、奥体中心、高新会展中心、汉峪、齐鲁软件园高新万达广场及凤凰路周边房源都有，需要的客户可以随时联系点击我的头像可直接进入我的网络门店查看更好！
精装主卧独卫 有暖气 有空调 有厨房 无中介F 无物业费,3室2厅2卫,合租 - 主卧,28,南,中层 / 12层,高新,徐家庄,高新国际会展中心 - 凤凰路,850,无,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']",一、房屋基本信息：1、楼盘名称：徐家庄2、房屋性质：住宅3、装修情况：精装房4、配套情况：精装厨房整体橱柜床、空调、冰箱、洗衣机、热水器等家具家电齐全，拎包即可入住6、腾房情况：房屋现在空置，干净整洁，随时入住。7、看房时间：提前联系8、不想住了可免费转租。二、小区配套：1、附近万达广场、银座超市、社区医院菜市场等生活便利。2、交通方便：小区门口有K171、BRT6、K63路等公交，可直达洪家楼、玉兰广场、王舍人、济钢等地。
舜泰广场齐鲁软件园附近一室一厅一卫精装智能公寓无中介拎包入住,1室1厅1卫,整租,35,南,共3层,高新,龙园小区(别墅),高新经十路高新段 - 凤凰路4569号,1500,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1.智能门锁，每户唯一密码，app管理自己房间。2.智能监控，24公区录像。3.智能纯净水设备，24纯净水免费喝。4.智能电表，每户一表，自己充值，充多少用多少。5.每间独立卫生间，独立24热水器洗澡方便。6.每间标配独立冰箱，洗衣机，宜家桌椅、书架、衣柜、席梦思床垫、落地灯、空调、密码门锁等。7.包水费，物业、宽带、保洁（公共区域一周一次专业保洁打扫卫生）、维修，管理费。
可短租 草山岭小区精装修次卧 带空调 临近普利广场 浪潮大厦,3室2厅2卫,合租 - 次卧,20,南,中层 / 18层,高新,草山岭西区,高新汉峪 - 经十路,750,无,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']",1房屋位于浪潮，万科中心，舜泰广场，汉峪金谷，龙奥金座、龙奥大厦、齐鲁软件园、普利广场、华创观礼附近步行即可到达。2户型精装修，室友都是附近工作的人整体素质高爱干净整洁3房子家具、家具配套齐全每月免费定期保洁房产经纪非中介，多个房源可供您选择，有需要可以随时联系随时在线随时看房，很高兴为您服务！
绿地中心楼下  照片属实  拎包入住  无中介,3室1厅1卫,合租 - 次卧,25,北,中层 / 6层,市中,石棚街10号小区,市中经四万达 - 石棚街10号,599,无,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']",1.全明户型：户型方正，南北通透，小区环境优美，绿化覆盖率高。2.拎包入住：家具家电齐全3.物业费超低，生活成本低4.精致装修，让您免除装修劳累之苦5.交通便利：周边的交通线路网络发达6.生活配套齐全：周边有大型超市，小吃街，休闲广场等等
紧邻汉峪金谷 舜泰广场 舜奥华府精装次卧 随时看房 拎包入住,3室2厅2卫,合租 - 次卧,28,南,中层 / 27层,高新,济高舜奥华府,高新汉峪 - 舜华南路,750,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1·房子虽是合租，但干净卫生，适合年轻人居住，是您晚上休息的理想居所；2、房子配套：床，衣橱，桌子，椅子，热水器，洗衣机，拎包入住；3、小区位置很好，周边生活配套设施齐全，银座，丁豪广场.万达广场，工、农、建、招商、兴业、民生、交通银行；4·地处中心地段，交通便利，门口即是公交站牌，周围设施设备配套完善房屋内标配：驋.鸺-驋.鑶米床、床头柜、衣橱、写字桌、椅子、壁挂式空调、宽带、实木床定期上门为您做保洁.关于房子：小区生活方便，门口超市蔬菜水果店一应俱全。周边商业发达，各大超市，银行俱全。【房源优势】小区紧邻汉峪金谷，小区紧邻汉峪金谷，公交直达玉兰广场，万科中心，金域中心，浪潮，龙奥大厦舜泰广场，奥体中心，【房源描述】次卧朝阳，独立阳台有水盆，单独洗漱，24H热水，朝阳，采光好。专业售后，专业保洁，室友好相处，家电齐全，拎包入住【我们的周边房源】舜奥华府，东城逸家，北湖小区，南湖花苑，凤凰上郡，草山岭，万科麓山，奥龙观邸，浪潮玺苑，奥林逸城，凤凰国际，汉峪新苑，南湖小区，德润天玺，均紧邻汉峪金谷，舜泰广场，龙奥大厦，玉兰广场，浪潮，万科中心，金域中心，龙奥金座，龙奥大厦附近，奥体中心附近，银丰财富广场附近【我们对租客的要求】为了为每一个租客创造更舒适的环境一，养宠物不租，二，不讲究公共卫生不租，三，吵闹不租。我们不只关注租前，更关注每一个租客的入住体验您需要的房源（合理的价格，舒适的环境，步行的距离，好相处的室友，当您有问题时随时都能出面解决的专业管家）你需要的我们已经做到
便宜单间月付无压力中海天悦府精装主次卧单间紧临美莲广场奥盛,3室2厅2卫,合租 - 次卧,18,南,低层 / 32层,高新,中海天悦府(北区),高新齐鲁软件园 - 舜风路700号,600,无,"['空调', '热水器', '洗衣机', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']","位置优越：高新区均有合租单间卧室出租价格400到1500元左右不等，主卧独卫，次卧，小单间都有。双人床，桌椅，衣架，暖气，空调，冰箱，洗衣机等等家电齐全，24热水，无线网等等家具家电齐全，欢迎刚毕业的大学毕业生以及准备长期在济南工作的上班族入住交通便利：地处工业南路主干道南侧，路过公交车包,10.47.87，99,122.123,109,119,321,202，K160，K161，162，308，311，319，321等，出行十分方便，紧邻齐鲁软件园丁豪广场银河大厦三庆财富中铁财智省立东院舜泰广场浪潮集团美莲广场大学科技园奥盛大厦鑫盛大厦铭盛大厦万达广场"
汉峪金谷 舜泰广场 二室二厅合租 拎包入住 无中间费,2室2厅1卫,合租 - 主卧,23,南,低层 / 28层,高新,汉峪金谷金寓,"高新汉峪 - 龙奥北路,近舜华南路",600,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",房源优势：1.不说装修多好，少干净卫生，清净明亮。2.不像别的房居住人多且杂，合租四间，品牌只为专属的你。3.小区，出门公交，闹中取静，成熟商圈，周边菜市场，超市，小吃街，论你是购物狂，吃货，夜猫子，技术宅都能满足。4.租客，三有不租，养宠物者不租，带老人者不租，正当职业者不租，带小孩者不租，让合租的你住的更有品质。5.公司自己的房子，不是骗人，真的不收中价费。6.服务周到，带你看遍济南商圈所有房子，相信我，成就你。7.线宽带、衣柜、大床、电脑桌、晾衣架、空调、24*热水器、暖气、冰箱、洗衣机、厨房可做饭
维尔康宿舍出租 精装修 附近维尔康肉类水产市场 随时看房,2室1厅1卫,整租,76.31,南北,中层 / 6层,历城,维尔康宿舍,"历城历城周边 - 工业北路263,268号",1399,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '可做饭', '阳台']",【格局】2室1厅1卫，采光好，视野无遮挡。【价格】租金1399元/月【装修】房子居家精装，保养全新【图片为本房图片】【看房】24随时。交通：8，71，46，106，k92，k93，k55，k57路公交车大学：工会管理干部学院、济南轻工学院、济南金融学院商场：华联超市、黄台菜市场医院：山大二院、社区门诊、济钢医院邮局：中国邮政全福网点银行：工商银行、农业银行、建设银行、齐鲁银行其他：兴泉大酒店、维尔康食品公司
中铁国际城精装南次卧原户型鲁商国奥城奥体中心省立医院拎包入住,3室2厅2卫,合租 - 次卧,29,南,高层 / 21层,历下,中国铁建国际城,历下解放东路 - 奥体西路北段2666号,888,距离地铁R3号线礼耕路站582米,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']",房子全新装修，家电有：热水器、洗衣机、空调等；家具有：床、衣柜、电脑桌、窗帘、晾衣杆等。100M光纤宽带。房间为民水民电无任何杂费后期有保障免费维修保洁。价格区间不等，（根据房间面积大小，朝向价格略有不同）详情请来电咨询。适合刚出来工作或已经工作的青年朋友。。房间干净清爽。看了你肯定满意。独门独户．安静舒适，互不打扰。要求：安静不吵闹作息规律大家出门在外相遇都是缘分都希望能相互之间考虑一下保留一点好感另有百套房源单间300-500次卧600-800.主卧900-1000，独卫1000-1400，
武警单位宿舍 三室 低楼层 空调房 2000,3室1厅1卫,整租,97,南北,低层 / 11层,高新,景苑小区,高新经十路高新段 - 经十路,2000,无,"['空调', '热水器', '洗衣机', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",高新区武警总队单位宿舍设施齐全电梯房双气三线齐全精装床衣橱电脑桌沙发茶几空调洗衣机热水器油烟机炉灶等小区位于经十东路与水华路，汉峪金谷舜泰广场东，近齐全软件园、美莲广场、奥盛大厦、银河大厦、万达文旅城、银座汽车等高新区乘坐115116136直达水华路站下车即是实拍图片有钥匙随时看房随时入住
