标题,户型,租房方式,房屋大小,房屋朝向,楼层,小区名称,地址,房租,地铁,房屋配置,房屋描述
阳光100 和谐广场 精装一室 客卧分离 拎包入住 大阳台,1室2厅1卫,整租,65.84㎡,南,中层 / 18层,阳光100国际新城(H...,槐荫阳光新路 - 阳光新路19号,1800,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭']",【户型优势】阳光100F区，出行便利，楼下车站；精装高层南向，一室两厅一卫，独立阳台，家具家电齐全。高层，采光通风视野很好，居住温馨舒适。楼下美乐汇商场，购物娱乐影院KTV一应俱全！【房屋现状】高楼层，舒适安静。幼儿园、小学、中学（外国语中小学九年、阳光100小学）让您的不出小区轻松入托、入学，坐享教育资源。鑶【商圈优势】阳光100国际新城是经十路和谐广场商圈大的成熟社区，地理位置优越，设施配套齐全，餐饮、购物、娱乐、出行一步到位，让你的生活更加方便快捷。
凯旋新城经十路 精装修双气 电梯房 五院儿童医院 段店营市街,2室2厅1卫,整租,95㎡,南北,中层 / 25层,凯旋新城(西区),槐荫段店 - 经十路25166号,1600,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",欢迎光临我的个人网上店铺我将竭诚为您服务1、位置：经十路段店营市街，紧邻五院，儿童医院，森林公园，舜和国际酒店，省立医院西院，华联超市，和谐广场，财富壹号段店市场，生活设施齐全等2、户型：经典两室两厅，南北通透，户型方正，采光好、全明格局，客厅宽敞大气。3、社区：凯旋新城西区，花园式封闭社区，绿化环境好，环境优美且安静，人文素质高，物业管理完善，小区治安好，停车非常方便4、配套：家电家具齐全，双气，电梯房，精装修，干净整洁，伶包入住！5.业主诚心出租，好房不等人本人承诺：在带看过程中不收取任何费用，房子满意后，双方签约合同！详情扫码咨询。。。希望您是讲卫生的好租客，安静不闹的好邻居!
龙湖冠寓 精装套一 家具齐全 拎包入住 无中介短租 可领补贴,1室1厅1卫,整租,32㎡,南,高层 / 18层,翡翠外滩(南区),"历城小清河 - 小清河北路,近规划路",1380,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",租冠寓可享济南市政府专属人才补贴！冠寓是龙湖集团推出的长租公寓品牌，致力于营造一个舒适、安全、便捷、社群、时尚的空间。打造一个以长租公寓为核心，生活服务多功能在内的多元化社区。1.房屋配套：一室一卫，20-35平，含洗衣机冰箱鞋柜空调WIFI，知名家具家电配套齐全。2.超炫公区：免费使用健身房、台球厅、影音室、会客室、公共厨房餐厅，满足多种生活需求，营造健康积极的社交场所。3.多彩社群：每月至少2次社群活动，蹦床、K歌、爬山、轰趴、狼人杀谁是卧底剧本杀、龙虾宴、音乐节、真人CS、聚餐等等，活动不断，更亲密的邻里关系，更自在的志同道合，95后运营官带你体验精彩生活。4.服务：95后年轻运营官、保安、保洁、维修齐全，24H无缝隙守护租户生活。5.交通、车位：门店位于北园街道小清河北路，公交便利，楼下就有停车场，停车方便。6.安全可靠：龙湖集团全国36所城市直营，品牌保障，冠寓有店长、运营官、龙湖物业24h无缝隙守护您的安全，且冠寓出入需要梯控、指纹识别、房间有智能密码锁、公共区域有摄像头监控，多维度保障您的的安全，让我们的每一位租户在冠寓都住的安心。7.周边配套：公寓自带自动售卖机、小电充电宝、农夫山泉、充电桩、公共洗衣机等，日常生活便捷。1公里内超市，银行等生活配套齐全8.智慧生活智能APP三重智能管理，安心舒心。自主研发“冠寓”APP，轻松实现掌上生活缴费（水电）、线上看房、智能门锁密码管理、故障报销、租约管理等智能化服务。
洪家楼印象城 花园小区精装两室双气进组2000 有钥匙可看房,2室1厅1卫,整租,65.40㎡,南,高层 / 6层,花园小区(三区),历城黄台南路 - 黄台南路,2000,无,"['电视', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1.位置：洪家楼印象城繁华地段，山大路花园路黄台南路交汇处2.户型：正规两室一厅，户型方正。3.装修：精装修婚房，双气，免去您的装修劳苦。5.价格：单价低于市场价。7.交通：出门便是山大路花园路公交站牌。线路应有尽有交通便捷。
山师山艺华强省医，解放路山大路山师东路和平路，泉城广场芙蓉街,1室1厅1卫,整租,46㎡,南,中层 / 12层,诚基中心,历下和平路 - 和平路47号,1100,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",附近标识：山师、山艺、千医、省中医、八院二、小区介绍：以精装小户型为主，电梯房，配套设施齐全，成熟商圈，文化底蕴深厚，入住多为年轻人，有朝气.三、公交直达：省杂技团18路48路75路110路123路K59路K94路；山师东路文化东路31路K93路；附近其他公交站点有山大路文化东路.和平路历山东路.文化东路西口.经十路山师东路。
汇鑫苑 3室2厅1卫 1700元月 南北通透 120平,3室2厅1卫,整租,120㎡,南北,低层 / 6层,汇鑫苑,济阳济阳城区 - 银河路,1700,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",小区出行方便购物方便家具家电齐全拎包入住
（新）龙湖冠寓 无中介 可短租月付小清河 精装套一独卫,1室1厅1卫,整租,31㎡,南,高层 / 8层,华福国际,历城小清河 - 北园大街57号,1550,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '宽带', '可做饭', '阳台']",冠寓是龙湖集团推出的全国连锁长租公寓品牌，致力于营造一个舒适的、安全、便捷、社群、时尚的空间。房屋配套：一室一卫，20-40平，含洗衣机冰箱鞋柜空调WiFi，知名家具家电配套齐全；超炫公区：免费使用健身房、台球厅、影音室、会客室、公共厨房餐厅，满足多种生活需求；
郎茂山 双气 精装修两室一厅 家具家电齐全 南北通透拎包入住,2室2厅1卫,整租,72㎡,南北,中层 / 6层,郎茂山小区(四区),市中郎茂山 - 七里山西路30号,1490,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1、水费电费都是正规居民用电用水费用标准；绝无乱收费现象；好楼层；照片自己拍的；可靠真实！2、交通便利，短时间就可以步行到公交站牌！3、周边生活设施齐全，商场、超市、菜市场、银行、学校等应有尽有！4.交通便利，生活便捷！
交通学院 香港国际 重汽 匡山实验  0！中介 押一付一 短,1室0厅1卫,整租,30㎡,南,中层 / 10层,重汽彩世界,天桥济齐路 - 无影山中路130号,1020,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",中合公寓是济南合租公寓的龙头企业，济南全市有近万套公寓，公司以服务为宗旨，给租户一个温馨的家.咱们公寓是青年合租公寓，租户都是有正当工作且作息时间正常，每一套房子有专门的管家负责后续的一切事宜本小区配套设施齐全，带空中花园，附近有银行大型超市，大润发，楼下带商业可以逛街吃饭租客要求，1工作稳定长租优先2爱惜房屋及设施3按时缴纳房租4禁止养宠物5爱干净本人是中合公寓的李正凯，主要负责市中经四万达绿地商圈，天桥堤口路，槐荫西市场商圈房子的租赁与租后服务工作。如有需要请随时联系我，我会尽力帮您找到您满意的房子，让您在济南有一个温馨的家并且会负责您房子后续的一切事宜。
无中届费！年前特价 可短租 荆山路经济学院对面 精装公寓,1室1厅1卫,整租,45㎡,南,中层 / 25层,学府蓝山,历下浆水泉路 - 二环东路7366号,1850,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",没有中届费！房子在文旅城。家具家电齐全出租全新家具家电拎包入住。房子可以长租也可以短租。1850是长租年付的价格，短租也有优惠具体微聊，电话联系都可以。全部没有中届费！随时看房
汽车总站 无影山 翡翠郡南区一楼 大面积 独门独户 随时看房,4室1厅2卫,整租,150.00㎡,南北,低层 / 17层,翡翠郡(南区),天桥汽车总站 - 无影山中路41号,3000,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",房源介绍1、户型：4室1厅1厨2卫2、朝向：南北，精装修装修3、面积：150平方米4、价格：3000元5、环境：房子采光好，小区环境优美，24治安管理，周围方便，购物方便。6、有需要的请和我联系，我愿意为您找个温馨的家。也许很多虚假的房子让您困扰，我的房子纯属，能为您找到一个温馨的家，一直作为我的首要任务。
华创观礼附近龙湖奥东11号 复试公寓出租家具家电齐全拎包入住,1室1厅1卫,整租,48㎡,南,中层 / 30层,龙湖奥东11号,高新汉峪 - 舜义路,2700,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",房子出租干净整洁家具家电齐全周边设施齐全紧邻奥体中心玉兰广场银丰财富中心龙奥天街龙奥金座阳光保险阳光金融中心喜来登大酒店汉峪金谷舜泰广场浪潮集团省立医院鲁商国奥城万象城CBD力高国际金宇大厦山东省人民法院中铁国际城中铁财智中心全运村中央广场华创管理中心重汽1956万科天泰金域中心中国电信齐鲁软件园科汇大厦雨滴广场知慧大厦三庆齐盛广场银荷大厦鑫盛广场高新万达广场铭盛大厦丁豪广场山东大学科技产业园国际会展中心贤文花园海信贤文世家山钢新天地新生活家园新东方花园万达华府盛世花城未来城茗筑美嘉小鸭集团牛旺庄明湖白鹭郡明湖太学院保利华庭龙园小区中海天悦府国华印象齐鲁文化创业基地海信创智谷理想嘉园鑫苑国际雅居园中铁汇苑燕山新居草山岭小区康桥颐东东城逸家北胡小区奥林逸城汉峪新苑舜奥华府南湖花园德润天玺奥龙观邸万科麓山凤凰国际中铁逸都国际玺园东荷苑晨熙家园东城逸家逸雅园一区东城逸家逸雅园二区东城逸家逸雅园三区东城逸家逸雅园四区东城逸家逸秀园二区东城逸家逸秀园一区东城逸家逸品园东城逸家逸士园一区东城逸家逸士园四区东城逸家逸贤园一区东城逸家逸贤园二区东城逸家逸俊园一区凤凰上郡三盛国际涵玉翠岭华皓英伦联邦兴旺家园汉峪海风经十路舜华路龙奥北路奥体中路奥体西路凤凰路人工智能大厦舜义路舜华南路辰祥路天辰路解放路周边都有房源各种单间公寓整租合租给我一分信任还您十分温暖让您拥有一个温暖的小家在这个漂泊的城市不再漂泊
世购对面 一室一厅 拎包入住 电梯房 期待您的入住,1室1厅1卫,整租,33㎡,北,低层 / 22层,实力伴云居,"槐荫经十西路 - 经十路,近腊山北路",1200,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '可做饭', '阳台']",小区介绍：环境舒适宜人封闭式花园小区小区内有超市，周边有明星菜市场和腊山农贸市场房源介绍：房屋家具家电设施齐全采光好，全明户型附近有81路109路78路96路202路等多路公交车出门交通便利，地铁口就在小区对面，小区内有地上地下停车位
特价一室一厅，可短租可月付，押一付一，山师山艺华强省医，诚基,1室1厅1卫,整租,52㎡,南,高层 / 9层,诚基中心,历下和平路 - 和平路47号,1500,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",附近标识：山师、山艺、千医、省中医、八院二、小区介绍：以精装小户型为主，电梯房，配套设施齐全，成熟商圈，文化底蕴深厚，入住多为年轻人，有朝气.三、公交直达：省杂技团18路48路75路110路123路K59路K94路；山师东路文化东路31路K93路；附近其他公交站点有山大路文化东路.和平路历山东路.文化东路西口.经十路山师东路。
辛祝路 祝甸路 祝甸东方花园旁 辛甸北路 东方综合市场旁,2室1厅1卫,整租,70㎡,南北,低层 / 6层,祝甸小区,历城祝甸 - 祝甸路,2099,距离地铁R3号线花园东路站1838米,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1.租金便宜：业主人很随和，很好说话，只要租户稳定，基本是没什么问题的；2.房屋介绍：房子户型正气，南朝向，采光跟通风都是没得挑，阳光很充足，原是业主自住的装修，带成套家具家电，可以拎包入住；3.随时看房：您只需提前跟我电话预约，即可免费带您去看房；户型：精装装修情况：户型正气，阳光超好，非常干净，空调、热水器、床、洗衣机、冰箱、电视，都有的。4具体的装修情况可看实拍照片温馨提醒：正规的中介机构均为免费看房，如签合同须签约本人同时出示与出租地址相符的房产证，交钱时应索取相应收据。5带客户看的每一套房子都是本人提前去看过的房子，对客户负责，用诚挚的服务，帮每一个客户找到自己满意的房子！不是你没有遇到合适的房子，而是没有遇到为你们全力以赴的房产经纪人，选择我——点击我的头像，进入我的店铺，更多房源已为你准备好。
实图实价无中介！工业南路绿地IFC中央公馆伴山居 万象城,3室2厅1卫,整租,120㎡,南北,中层 / 27层,绿地IFC中央公馆,"历下康虹路 - 工业南路,近丁家庄南路",3499,距离地铁R3号线丁家庄站635米,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1.无中介，个人房源，地理位置好2.实图实价，全新家具家电，拎包入住3.押一付一押一付三，半年付，年付都可以，多付优惠4.好房不多，有需要请电话联系
时代广场 新出可做饭空房 省妇幼对面 万象城附近 拎包入住,1室0厅1卫,整租,40㎡,西,低层 / 20层,卓越时代广场,历下浆水泉路 - 浆水泉路16号,1550,无,"['空调', '热水器', '洗衣机', '冰箱', '床', '衣柜', '暖气', '宽带', '可做饭']",押一付三配套齐全精装修房源描述告别脏乱的老房子，为你在济南找到一个家一、中合公寓优势介绍专业的公寓管理人员，支持月付、季付。新房，实拍图，精装修，真正体现拎包入住；追求精致小资生活的人群。中合公寓的标准配置：全新家具家电：双人床，衣柜，电脑桌，空调，洗衣机，热水器；主卧次卧，根据个人需求来选择。安全温馨--每周两次保洁；专业的后勤团队；保安巡逻，凭门禁卡出入小区。都有钥匙随时看房，省时省力。二、房屋介绍此房位于燕山银座旁边燕山立交桥附近，交通便利，周边有BRT等多路公交车经过；距离燕山立交桥，艾玛妇科二环东路燕山银座都很近；出行便利，周边配套齐全。三、我们的房源有很多，价位有所不同，您只需打进电话说出您的需求，我会尽快给您匹配房源，带您看的不只是这一间，打造您的专属私人空间，先到先得！四、租客要求作息规律、入住即静爱惜房屋及附属设施按时缴纳租金本公司拥有专业的公寓管家团队，欢迎各位业主委托出租房源、空置房产，专业“房屋托管”让您放心、省心、安心。中合公寓--竭诚为您服务！
可短租！文化东路创展中心华强广场 山大路238号 中间楼层,2室1厅1卫,整租,63㎡,南,中层 / 6层,吉美乐小区,历下文化东路 - 山大路238号,1999,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']","1、高性价比付款方式灵活、季付、半年付、大程度方便住户，减轻租客压力2、白金地段，地铁口快捷交通。饭店、药店、水果店、各色小吃、便利店、足疗、美容美发、网吧、茶社、菜场等小型生活配套楼下醇熟配套，十分便利3、拎包入住房间均配置了大床、写字桌椅、温馨衣柜、洗衣机、24天然气热水，一应俱全，做到了真正的全装修拎包入住标准。4、配备齐全主卧：带独立卫生间，全新家具，床衣柜电脑桌家电：电视、洗衣机、厨房5、看房自由本房源真实存在，您只需要一个电话,即可带您看房,精装修,6.可入住时间：随时入"
和平路，燕子山路，甸柳新村五区，两室朝阳，精装双气，拎包入住,2室1厅1卫,整租,70.00㎡,南,高层 / 6层,甸柳新村(五区),历下甸柳 - 和平路,2000,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1、双气，三线，家具家电齐全，装修还行，简单干净，照片真实，2、两室朝阳，南北通透，全明户型，位置好，交通生活方便。3、家具家电：空调，床，衣橱，桌椅，灶具，热水器，沙发，茶几，桌椅，等等，独立餐厅，冰箱，洗衣机4、不要错过，随时看房，拎包入住！
实拍！两室隔开，紧邻高新万达，民用电，精装修，拎包入住,2室1厅1卫,整租,85㎡,南,高层 / 22层,凤凰SOHO,高新国际会展中心 - 凤凰路,1800,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",精装单间会展中心齐鲁软件园万达拎包入住，小区环境优雅，物业正规，管理严格，适宜居住，设施齐全，全套家具家电，拎包即可入住！1、位置优越：小区周边商铺众多；紧邻国际会展中心万达广场银座华润万家丁豪广场美莲广场，购物方便。2、交通便利：地处工业南路主干道两侧周边，路过公交车多条线路包括：138、63、10、47、99、122、308、311、318、319、321、322、K160、K162、K163、150、503、40、K166、87等，出行方便。4、上班方便：紧邻齐鲁软件园丁豪广场国际会展中心银河大厦三庆财富中铁财智省立东院舜泰广场浪潮集团美莲广场留学人员创业园大学科技园奥盛大厦5、配套设施齐全包括：床、大衣柜、电脑桌、椅子、鞋架、衣架、冰箱、空调、全自动洗衣机、热水器等
新出精装复式三室两厅可长短租押一付一落地飘窗采光好双气华强,3室2厅2卫,整租,135㎡,南北,高层 / 9层,诚基中心,历下和平路 - 和平路47号,2800,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",租房子～选万城服务宗旨：一次服务终身服务，您身边永远的好邻居！万城诚基专家：闫山办公地点：和平路诚基中心一期22号楼（现3号楼）西南角万城地产房源介绍：1.双气房，落地大飘窗，采光。家具家电齐全拎包即住。2.房型有整租，单间，一室，两室，三室，各类房型。3.房子租期灵活，看房有钥匙，随时看房，本店主营：1.专注租赁托管包租精装豪装整租一室两室三室四室，复式合租月租日租。2.我们，只要你有需求，就有需求的房源。不吃差-价透-明交-易，跟房东面对面签合同。交接房屋，服务到家！区位优势：1.济南中心位置，和平路山师东路历山路泺源大街，位置优越。山师购物奥特莱斯新闻大厦山师附小，解一小，步行即可到达泉城广场、趵突泉、泉城路、大明湖等景点；2.交通便利、2、31、49、70、79、80、93、，BRT2.3，各路公交车均有！诚基中心，万豪国际，世茂恒隆，宽厚里，芙蓉街，家乐福、大润发！世贸！中心医院，华强科技市场！颐正大厦！奥斯卡！泺源大街！爱上菲比！罗密欧！历东花园！恒大帝景！中L国熙台！十亩园！棋盘小区！燕山小区！中润世纪广场！时代广场！盒子！
靠近外国语安置一区两室中间楼层精装修价格便宜,2室2厅1卫,整租,60㎡,南,中层 / 33层,华山安置一区,历城将军路 - 将军路,1200,无,"['热水器', '可做饭', '阳台']",户型：两室两厅一卫面积：60平装修了，真实价格，诚意出租、可再配置点东西，户型图乱配置的，就是一套两室的房子
整租分租均万象城万达广场各大CBD附近精装修交通方便拎包入住,3室2厅1卫,整租,110㎡,南,低层 / 30层,丁家嵘汇花园,历下解放东路 - 奥体西路,3100,距离地铁R3号线丁家庄站487米,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",一、房屋配置1、房间标配：（单人/双人床）+加棕床垫、木衣柜，木地板、电脑桌、凳子、窗帘，高速宽带，个别单间有空调。2、公用设施全自动洗衣机，24热水器有花洒可洗澡。个别户型有厨房3、水电市价，水4.2一方，电0.55一度二、周边生活环境小区均为大型社区，有连锁超市，菜场便利店，餐馆，生活很方便。三、房间类型1、隔断间300元-700元，虽然个头小，但是配置不输实体房，家具齐全，住的方便！2、实体次卧700元—850元，全配精装修的！3、实体主卧850元—1200元，有宽敞的阳台四、卫生状况房间走廊、公用卫生间有保洁定期打扫。五，无中介费。无中介费，无中介费。无任何中介费
广播电视局宿舍 5室2厅3卫 8800元月 电梯精装修！,5室2厅3卫,整租,198㎡,南北,高层 / 6层,济南市广播电视局宿舍,市中市中周边 - 七里山路26号,8800,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",！！！！房子自带200㎡大露台！！！！1、房子精装修，家具家电齐全，直接可以拎包入住，随时看房！2、小区绿化好，环境优美，居住舒适，出行也方便，出门就有公交车，直达火车站汽车站等交通便利。3、小区周围有超市、药店、面馆，美容美发应有尽有，生活购物便利。5、房东诚意出租，我们竭诚为您服务，帮您找到称心如意的房子，24*开机欢迎来电看房。6，房源亮点配套齐全精装，南北通透采光好，客厅宽敞7，格局利用率高，客厅方正好用，厨房空间大8，环境舒适，人文素质高，物业管理完善，绿化高，空气好提示：如您不满意，可给您提供寻找满足您需求的房子
龙湖冠寓 开业钜惠 精装套一 家具齐全 拎包入住 无中介短租,1室0厅1卫,整租,30㎡,南,中层 / 12层,路劲东城(商住楼),历城全福 - 二环东路,1480,无,"['电视', '空调', '热水器', '洗衣机', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",租冠寓可享济南市政府专属人才补贴！冠寓是龙湖集团推出的长租公寓品牌，致力于营造一个舒适、安全、便捷、社群、时尚的空间。打造一个以长租公寓为核心，生活服务多功能在内的多元化社区。1.房屋配套：一室一卫，20-35平，含洗衣机冰箱鞋柜空调WIFI，知名家具家电配套齐全。2.超炫公区：免费使用健身房、台球厅、影音室、会客室、公共厨房餐厅，满足多种生活需求，营造健康积极的社交场所。3.多彩社群：每月至少2次社群活动，蹦床、K歌、爬山、轰趴、狼人杀谁是卧底剧本杀、龙虾宴、音乐节、真人CS、聚餐等等，活动不断，更亲密的邻里关系，更自在的志同道合，95后运营官带你体验精彩生活。4.服务：95后年轻运营官、保安、保洁、维修齐全，24H无缝隙守护租户生活。5.交通、车位：门店位于北园街道小清河北路，公交便利，楼下就有停车场，停车方便。6.安全可靠：龙湖集团全国36所城市直营，品牌保障，冠寓有店长、运营官、龙湖物业24h无缝隙守护您的安全，且冠寓出入需要梯控、指纹识别、房间有智能密码锁、公共区域有摄像头监控，多维度保障您的的安全，让我们的每一位租户在冠寓都住的安心。7.周边配套：公寓自带自动售卖机、小电充电宝、农夫山泉、充电桩、公共洗衣机等，日常生活便捷。1公里内超市，银行等生活配套齐全8.智慧生活智能APP三重智能管理，安心舒心。自主研发“冠寓”APP，轻松实现掌上生活缴费（水电）、线上看房、智能门锁密码管理、故障报销、租约管理等智能化服务。
保利中心  万盛园 发祥巷省立医院 绿地新城鑫苑城市之家,1室1厅1卫,整租,41.8㎡,北,中层 / 25层,保利中心,槐荫西市场 - 经一路333号,1999,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",爱租就租的房社会不良分子、孕妇、带小孩的、养宠物的，有不良嗜好的我一律不租，因为我这里的租客都是高素质的年轻人，毕竟谁也不想自己的家乱七不糟，自己居住的地方吵吵闹闹，我力所能及的就是让我的房客住的安全舒适，谢谢合作！（相遇是即是缘分另有其他小区其他房型供您选择，期待您的来电，祝生活愉快！）1、也许你刚毕业，离开宿舍告别室友，徘徊在人生的十字路口。2、让在大城市漂泊的您住进一个幸福的“家”，给您够得着的幸福！入住起将配有专业维修售后团队，免去您的生活烦恼，周末尽情嗨!
近建筑大学 精装修 南北通透 两室 2400元月,2室2厅1卫,整租,94㎡,南北,低层 / 33层,恒生伴山,历城建筑大学 - 经十东路2299号,2400,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1.房子在建筑大学南边，临近经十路。2.周围配套丰富，出行方便。3.多路公交车直达舜泰广场，汉峪金谷。
龙湖冠寓 精装套一 家具齐全 拎包入住 月租月付 无中介急租,1室1厅1卫,整租,28㎡,南,高层 / 16层,滨河商务中心,天桥黄台 - 小清河北路,1385,无,"['电视', '空调', '热水器', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",租冠寓可享济南市政府专属人才补贴！冠寓是龙湖集团推出的长租公寓品牌，致力于营造一个舒适、安全、便捷、社群、时尚的空间。打造一个以长租公寓为核心，生活服务多功能在内的多元化社区。1.房屋配套：一室一卫，20-35平，含洗衣机冰箱鞋柜空调WIFI，知名家具家电配套齐全。2.超炫公区：免费使用健身房、台球厅、影音室、会客室、公共厨房餐厅，满足多种生活需求，营造健康积极的社交场所。3.多彩社群：每月至少2次社群活动，蹦床、K歌、爬山、轰趴、狼人杀谁是卧底剧本杀、龙虾宴、音乐节、真人CS、聚餐等等，活动不断，更亲密的邻里关系，更自在的志同道合，95后运营官带你体验精彩生活。4.服务：95后年轻运营官、保安、保洁、维修齐全，24H无缝隙守护租户生活。5.交通、车位：门店位于北园街道小清河北路，公交便利，楼下就有停车场，停车方便。6.安全可靠：龙湖集团全国36所城市直营，品牌保障，冠寓有店长、运营官、龙湖物业24h无缝隙守护您的安全，且冠寓出入需要梯控、指纹识别、房间有智能密码锁、公共区域有摄像头监控，多维度保障您的的安全，让我们的每一位租户在冠寓都住的安心。7.周边配套：公寓自带自动售卖机、小电充电宝、农夫山泉、充电桩、公共洗衣机等，日常生活便捷。1公里内超市，银行等生活配套齐全8.智慧生活智能APP三重智能管理，安心舒心。自主研发“冠寓”APP，轻松实现掌上生活缴费（水电）、线上看房、智能门锁密码管理、故障报销、租约管理等智能化服务。
可短租 东关大街 大明湖 宽厚里 历山路 山大南路 老东门,2室1厅1卫,整租,60㎡,南,高层 / 6层,长盛小区,历下老东门 - 东关大街38号,1600,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']","1、配套齐全,交通便利随时看房、所有房间均为真实照片。2、户型优势:南北通透采光极好楼层低上下楼方便。3、室内配套:精装修，冬天有暖气。4、室外介绍小区绿化很好,环境优雅空气清新,住户素质高,小区内有多处停车位停车方便。5、交通:周边多路公交,乘车、打车方便。6、社区配套:医院、便利店就在附近生活方便。"
新馨家园 化纤厂路 华龙路 康虹路 畅然居旁 凯旋公馆旁,2室1厅1卫,整租,85㎡,南北,高层 / 6层,三庆新馨家园,历下康虹路 - 化纤厂路6号,1799,距离地铁R3号线花园东路站1677米,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1.租金便宜：业主人很随和，很好说话，只要租户稳定，基本是没什么问题的；2.房屋介绍：房子户型正气，南朝向，采光跟通风都是没得挑，阳光很充足，原是业主自住的装修，带成套家具家电，可以拎包入住；3.随时看房：您只需提前跟我电话预约，即可免费带您去看房；户型：精装装修情况：户型正气，阳光超好，非常干净，空调、热水器、床、洗衣机、冰箱、电视，都有的。4具体的装修情况可看实拍照片温馨提醒：正规的中介机构均为免费看房，如签合同须签约本人同时出示与出租地址相符的房产证，交钱时应索取相应收据。5带客户看的每一套房子都是本人提前去看过的房子，对客户负责，用诚挚的服务，帮每一个客户找到自己满意的房子！不是你没有遇到合适的房子，而是没有遇到为你们全力以赴的房产经纪人，选择我——点击我的头像，进入我的店铺，更多房源已为你准备好。
无中介f拎包入住洪家楼印象城山东大学彼岸新都海蔚广场家电齐全,1室1厅1卫,整租,50㎡,南,高层 / 12层,广厦聚隆广场(商住楼),历城洪家楼 - 洪家楼南路1号,2300,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",九万间优选公寓：想必你看到了很多我的房源，依旧是我，只做租赁的小nie从业10年，做了10年的租赁。就在洪家楼，就做这5个小区。聚隆广场【目前主要做聚隆，你看到的价格低的基本都是虚假房源，聚隆现在市场价2300以上】，海蔚广场，福润康城，彼岸新都，爱特公寓。这10年没有卖过一套房子，专注租赁租房找我不忽悠，有就是有，没有不发虚假。有人说你们发布的都是虚假房源，对于只做高端租赁的我而言没有任何意义，我的房源本身质量就不错，没必要在用虚假房源掩盖。下面图片就是这样，一模一样，不做过多描述，好坏看得见，如果喜欢。直接电联，只要你能看到房子一定有，我基本不是看房子就是在看房子的路上，所以你发信息给我我不知道什么时间能够回复你，我不想失去来之不易的客户，所以直接联系我。给你想要的，给你需要的。不浪费双方时间
